source,title,author,published,year,month,link,tags,summary
bhis,how to root android phones,BHIS,2025-04-23 14:06:05+00:00,2025,4,https://www.blackhillsinfosec.com/how-to-root-android-phones/,"dave blandford, informational, mobile, android, root, root user, rooting, superuser","this blog will cover how to root an avd emulator and a physical pixel 6. but before we cover those topics, let's cover what it is we will be doing and some of the pro/cons of rooting an android phone."
bhis,communicating security to the c-suite: a strategic approach,BHIS,2025-04-16 14:00:00+00:00,2025,4,https://www.blackhillsinfosec.com/communicating-security-to-the-c-suite/,"blue team, dale hobbs, informational, infosec 101, boardroom cybersecurity, business-driven security, c-suite engagement, cyber risk awareness, cybersecurity communication, executive buy-in, financial impact of cybersecurity, risk management, security leadership, security strategy",engaging with the c-suite is not just about addressing security concerns or defending budget requests. it's about establishing and maintaining an ongoing discussion that aims to align security objectives with the interests of the business.
bhis,offline memory forensics with volatility,BHIS,2025-04-08 14:00:00+00:00,2025,4,https://www.blackhillsinfosec.com/offline-memory-forensics-with-volatility/,"ben bowman, how-to, informational, red team, red team tools, forensics, memory forensics, volatility",volatility is a memory forensics tool that can pull sam hashes from a vmem file. these hashes can be used to escalate from a local user or no user to a domain user leading to further compromise.
bhis,getting started with ai hacking: part 1,BHIS,2025-04-02 14:00:00+00:00,2025,4,https://www.blackhillsinfosec.com/getting-started-with-ai-hacking-part-1/,"brian fehrman, how-to, ai, ai hacking, artificial intelligence, hacking classifiers, machine learning",you may have read some of our previous blog posts on artificial intelligence (ai). we discussed things like using pyrit to help automate attacks. we also covered the dangers of […]
bhis,go-spoof: a tool for cyber deception,BHIS,2025-03-27 14:00:00+00:00,2025,3,https://www.blackhillsinfosec.com/go-spoof-a-tool-for-cyber-deception/,"ben bowman, blue team, blue team tools, external/internal, web app, cyber deception, deceptive tooling, go-spoof",go-spoof brings an old tool to a new language. the golang rewrite [of portspoof] provides similar efficiency and all the same features of the previous tool but with easier setup and useability.
bhis,how to test adversary-in-the-middle without hacking tools,BHIS,2025-03-24 15:00:00+00:00,2025,3,https://www.blackhillsinfosec.com/test-adversary-in-the-middle-without-hacking-tools-wrapup/,"how-to, michael allen, webcast wrap-up, adversary-in-the-middle, mfa, multi-factor authentication","in this video, michael allen discusses how to test adversary-in-the-middle attacks without using hacking tools. he delves into the intricacies of credential harvesting, the evolution of multi-factor authentication (mfa), and how attackers adapt their strategies to bypass security measures."
bhis,canary in the code: alert()-ing on xss exploits,BHIS,2025-03-20 14:00:00+00:00,2025,3,https://www.blackhillsinfosec.com/alerting-on-xss-exploits/,"blue team, blue team tools, how-to, informational, jack hyland, web app, cross-site scripting, xsscanary",i’ve been a web application pentester for a while now and over the years must have found hundreds of cross-site scripting (xss) vulnerabilities.1 cross-site scripting is a notoriously difficult problem […]
bhis,how to hack wi-fi with no wi-fi,BHIS,2025-03-17 15:00:00+00:00,2025,3,https://www.blackhillsinfosec.com/hack-wi-fi-with-no-wi-fi-wrapup/,"ben bowman, how-to, informational, john strand, red team tools, webcast wrap-up, joseph boyd, wi-fi forge","in this video, john strand and his team discuss the challenges of setting up and running wireless labs, particularly focusing on the issues faced during wild west hackin’ fest events. they highlight the development of an open-source project aimed at virtualizing wireless labs, which allows learners to practice wireless hacking techniques without needing physical hardware."
bhis,why your org needs a penetration test program,BHIS,2025-03-10 15:30:05+00:00,2025,3,https://www.blackhillsinfosec.com/why-your-org-needs-a-pen-test-program-wrapup/,"corey ham, external/internal, grc, red team, webcast wrap-up, kelli tarala, penetration testing, pentest","this webcast originally aired on february 27, 2025. join us for a very special free one-hour black hills information security webcast with corey ham & kelli tarala on why your […]"
bhis,burp suite extension: copy for,BHIS,2025-03-06 16:06:18+00:00,2025,3,https://www.blackhillsinfosec.com/copy-for/,"chris sullo, general infosec tips & tricks, web app, burp suite, copy for","if you’ve ever had to take a request from burp and turn it into a command line, especially for jwt_tool.py, you know it can be painful—but no more! the “copy for” extension is here to save valuable time."
bhis,light at the end of the dark web,BHIS,2025-03-03 16:00:00+00:00,2025,3,https://www.blackhillsinfosec.com/light-at-the-end-of-the-dark-web-wrapup/,"informational, infosec 301, webcast wrap-up, webcasts, dark web, tor","join us for this one-hour black hills information security webcast with joseph - security analyst, as he shares with you what he's discovered and learned about the dark web, so you never ever ever have to go there for yourself."
bhis,wi-fi forge: practice wi-fi security without hardware,BHIS,2025-02-27 15:00:00+00:00,2025,2,https://www.blackhillsinfosec.com/wifi-forge/,"ben bowman, hardware hacking, informational, wireless, wi-fi, wi-fi forge","in the world of cybersecurity, it’s important to understand what attack surfaces exist. the best way to understand something is by first doing it. whether you’re an aspiring penetration tester, […]"
bhis,avoiding dirty rags: retrieval-augmented generation with ollama and langchain,BHIS,2025-02-20 15:33:39+00:00,2025,2,https://www.blackhillsinfosec.com/avoiding-dirty-rags/,"brian fehrman, how-to, informational, ai, artificial intelligence, langchain, langsmith, large language models, llm, machine learning, ollama, rag, retrieval-augmented generation","rag connects pre-trained llms with current data sources. moreover, a rag system can use many data sources."
bhis,gone phishing: installing gophish and creating a campaign,BHIS,2025-02-13 16:50:07+00:00,2025,2,https://www.blackhillsinfosec.com/installing-gophish-and-creating-a-campaign/,"external/internal, how-to, informational, nick caswell, phishing, red team, red team tools, social engineering, gophish, mail security, phishing campaign",gophish provides a nice platform for creating and running phishing campaigns. this blog will guide you through installing gophish and creating a campaign.
bhis,5 things we are going to continue to ignore in 2025,BHIS,2025-02-10 16:00:00+00:00,2025,2,https://www.blackhillsinfosec.com/5-things-we-are-going-to-continue-to-ignore-in-2025-wrapup/,"blue team, incident response, john strand, red team, webcast wrap-up, ai, cloud, penetration testing","in this video, john strand discusses the complexities and challenges of penetration testing, emphasizing that it goes beyond just finding and exploiting vulnerabilities."
bhis,john strand’s 5 phase plan for starting in computer security,BHIS,2025-02-06 17:40:11+00:00,2025,2,https://www.blackhillsinfosec.com/john-strands-5-phase-plan/,"general infosec tips & tricks, how-to, informational, infosec 101, john strand, infosec for beginners, prompt#, soc issue","this article was originally published in the soc issue of our prompt# zine, which you can read for free here. the information was adapted from the 2018 webcast “john strand’s […]"
bhis,questions from a beginner threat hunter,BHIS,2025-01-30 15:00:00+00:00,2025,1,https://www.blackhillsinfosec.com/questions-from-a-beginner-threat-hunter/,"hunt teaming, informational, infosec 101, beginner, on the hunt, prompt#, q&a, threat hunting",answered by chris brenton of active countermeasures | questions compiled from the infosec community by shelby perry this article was originally published in the threat hunting issue of our infosec […]
bhis,grc for security managers: from checklists to influence,BHIS,2025-01-27 16:00:00+00:00,2025,1,https://www.blackhillsinfosec.com/grc-for-security-managers-wrapup/,"cj cox, grc, wrap-up, compliance, governance, kelli tarala, risk","this webcast was originally aired on january 16, 2025. in this video, kelli k. tarala and cj cox discuss the challenges and strategies for improving governance, risk, and compliance (grc) […]"
bhis,ai large language models and supervised fine tuning,BHIS,2025-01-23 15:00:00+00:00,2025,1,https://www.blackhillsinfosec.com/ai-large-language-models-and-supervised-fine-tuning/,"how-to, informational, infosec 301, joff thyer, ai, ai model training, llm","this blog post is aimed at the intermediate level learner in the fields of data science and artificial intelligence. if you would like to read up on some fundamentals, here […]"
bhis,attack tactics 9: shadow creds for privesc w/ kent & jordan,BHIS,2025-01-20 16:00:00+00:00,2025,1,https://www.blackhillsinfosec.com/attack-tactics-9-shadow-creds-for-privesc-wrapup/,"informational, jordan drysdale, kent ickler, red team, active directory, ad, penetration testing, pentesting, shadow credentials","in this video, kent ickler and jordan drysdale discuss attack tactics 9: shadow credentials for primaries, focusing on a specific technique used in penetration testing services at black hills information security"
bhis,one active directory account can be your best early warning,BHIS,2025-01-16 15:00:00+00:00,2025,1,https://www.blackhillsinfosec.com/one-active-directory-account-can-be-your-best-early-warning/,"blue team, blue team tools, how-to, informational, infosec 201, jordan drysdale","here we go again, discussing active directory, hacking, and detection engineering. tl;dr: one ad account can provide you with three detections that if implemented properly will catch common adversarial activities […]"
bhis,introduction to zeek log analysis,BHIS,2025-01-13 16:00:00+00:00,2025,1,https://www.blackhillsinfosec.com/introduction-to-zeek-log-analysis-wrap/,"webcast wrap-up, webcasts, log analysis, netowrk security, network traffic, zeek, zeek logs","in this video, troy wojewoda discusses the intricacies of zeek log analysis, focusing on how this network security monitoring system can be used to understand traffic and analyze logs effectively."
bhis,indecent exposure: your secrets are showing,BHIS,2025-01-09 14:09:50+00:00,2025,1,https://www.blackhillsinfosec.com/indecent-exposure-your-secrets-are-showing/,"informational, moth, .net, c#, cryptography, powershell, reverse engineering","by moth hard-coded cryptographic secrets? in my commercially purchased, closed-source software? it’s more likely than you think. like, a lot more likely.  this blog post details a true story of […]"
bhis,creating burp extensions: a beginner’s guide,BHIS,2025-01-06 18:10:22+00:00,2025,1,https://www.blackhillsinfosec.com/creating-burp-extensions-wrapup/,"dave blandford, web app, webcast wrap-up, burp, burp extensions, burp suite, extensions, web application testing","in this video, dave blandford discusses a beginner's guide to creating burp suite extensions. the session covers an overview of what burp extensions are, how they can improve testing capabilities, and the tools and languages used in developing them."
bhis,pitting ai against ai: using pyrit to assess large language models (llms),BHIS,2024-12-19 15:06:02+00:00,2024,12,https://www.blackhillsinfosec.com/using-pyrit-to-assess-large-language-models-llms/,"brian fehrman, how-to, ai, artificial intelligence, llms, machine learning, pyrit","many people have heard of chatgpt, gemini, bart, claude, llama, or other artificial intelligence (ai) assistants at this point. these are all implementations of what are known as large language […]"
bhis,the top ten list of why you got hacked this year (2023/2024),BHIS,2024-12-12 15:00:00+00:00,2024,12,https://www.blackhillsinfosec.com/top-ten-list-of-why-you-got-hacked-this-year-2023-2024/,"author, external/internal, finding, informational, jordan drysdale, kent ickler, buzzwords, clickbait, report findings, statistical analysis, zero ai mentions",by jordan drysdale and kent ickler tl;dr: bhis does a lot of penetration testing in both traditional and continuous penetration testing (cpt) formats. this top ten style list was derived […]
bhis,ics hard knocks: mitigations to scenarios found in ics/ot backdoors & breaches,BHIS,2024-12-05 15:00:00+00:00,2024,12,https://www.blackhillsinfosec.com/mitigations-to-scenarios-found-in-ics-ot-backdoors-and-breaches/,"brian ireland, informational, infosec 201, b&b, backdoors & breaches, ics/scada, industrial control systems, initial compromise",this blog will be referencing the ics/ot backdoors & breaches expansion deck created by bhis and dragos. we will be reviewing the ics-focused initial compromise cards that are used to simulate a cyber incident and suggest potential mitigations to what is presented.
bhis,intro to data analytics using sql,BHIS,2024-12-02 16:00:00+00:00,2024,12,https://www.blackhillsinfosec.com/intro-to-data-analytics-using-sql-wrapup/,"ethan robish, webcast wrap-up, data analytics, duckdb, sql, structured query language","in this video, ethan robish discusses the fundamentals and intricacies of data analytics using sql."
bhis,finding access control vulnerabilities with autorize,BHIS,2024-11-21 18:53:06+00:00,2024,11,https://www.blackhillsinfosec.com/finding-access-control-vulnerabilities-with-autorize/,"craig vincent, informational, web app, access control vulnerability, access controls, autorize, idor","in the most recent revision of the owasp top 10, broken access controls leapt from fifth to first.1 owasp describes an access control as something that “enforces policy such that […]"
bhis,the detection engineering process,BHIS,2024-11-18 16:00:00+00:00,2024,11,https://www.blackhillsinfosec.com/the-detection-engineering-process-wrapup/,"hayden covington, soc, alerting, automation, detection engineering, detections, security operations center","this webcast was originally published on november 8, 2024. in this video, hayden covington discusses the detection engineering process and how to apply the scientific method to improve the quality […]"
bhis,cyber risk lessons we can learn from hurricane preparedness,BHIS,2024-11-14 15:00:00+00:00,2024,11,https://www.blackhillsinfosec.com/cyber-risk-lessons-we-can-learn-from-hurricane-preparedness/,"grc, compliance, governance, kelli tarala, leadership, risk, risk management","risk is real. to better understand cybersecurity risk, let’s compare cyber risks to risks in the natural world from hurricanes. we can learn lessons from hurricanes and unnamed storms in […]"
bhis,intro to desktop application testing methodology,BHIS,2024-11-11 16:00:00+00:00,2024,11,https://www.blackhillsinfosec.com/intro-to-desktop-application-testing-methodology-wrapup/,"webcast wrap-up, craig vincent, desktop application testing, dll hijacking, penetration testing, pentesting","in this video, experts delve into the intricacies of desktop application penetration testing methodologies."
bhis,what is penetration testing?,BHIS,2024-11-07 15:00:00+00:00,2024,11,https://www.blackhillsinfosec.com/what-is-penetration-testing/,"informational, infosec 101, john malone, infosec for beginners, penetration testing, pentesting","in today’s world, security is more important than ever. as organizations increasingly rely on technology to drive business, digital threats are becoming more sophisticated, varied, and difficult to defend against. […]"
bhis,adversary in the middle (aitm): post-exploitation,BHIS,2024-11-04 16:55:29+00:00,2024,11,https://www.blackhillsinfosec.com/adversary-in-the-middle-aitm-post-exploitation-wrapup/,"informational, michael allen, social engineering, webcasts, adversary in the middle, aitm, post-exploitation, webcast wrap-up","in this video, michael allen discusses adversary-in-the-middle post-exploitation techniques and processes."
bhis,"pentesting, threat hunting, and soc: an overview",BHIS,2024-10-31 15:04:10+00:00,2024,10,https://www.blackhillsinfosec.com/pentesting-threat-hunting-and-soc-an-overview/,"informational, infosec 101, infosec for beginners, infosec survival guide, penetration testing, pentesting, security operations center, soc, threat hunting","by ray van hoose, wade wells, and edna jonsson || guest authors this post is comprised of 3 articles that were originally published in the second edition of the infosec […]"
bhis,"qemu, msys2, and emacs: open-source solutions to run virtual machines on windows",BHIS,2024-10-24 14:03:20+00:00,2024,10,https://www.blackhillsinfosec.com/qemu-msys2-and-emacs/,"dave blandford, how-to, informational, qemu, virtual machines, vm","as a tester, i do all my work inside a virtual machine (vm). recently, i found myself in a situation where i needed to get a vm on a windows […]"
bhis,"clear, concise, and comprehensive: the formula for great soc tickets",BHIS,2024-10-17 15:00:00+00:00,2024,10,https://www.blackhillsinfosec.com/the-formula-for-great-soc-tickets/,"blue team, hayden covington, informational, infosec 101, security operations center, soc","a lot of emphasis and focus is put on the investigative part of soc work, with the documentation and less glamorous side of things brushed under the rug. one such […]"
bhis,dll hijacking – a new spin on proxying your shellcode,BHIS,2024-10-14 15:20:49+00:00,2024,10,https://www.blackhillsinfosec.com/dll-hijacking-a-new-spin-on-proxying-your-shellcode/,"informational, matthew eidelberg, red team, red team tools, webcasts, dll, dll hijacking, webcast wrap-up","this webcast was originally published on october 4, 2024. in this video, experts delve into the intricacies of dll hijacking and new techniques for malicious code proxying, featuring a comprehensive […]"
bhis,"blue team, red team, and purple team: an overview",BHIS,2024-10-10 15:00:00+00:00,2024,10,https://www.blackhillsinfosec.com/red-blue-and-purple-teams/,"blue team, blue team tools, guest author, informational, infosec 101, red team, red team tools, infosec for beginners, infosec survival guide, purple team","by erik goldoff, ray van hoose, and max boehner || guest authors this post is comprised of 3 articles that were originally published in the second edition of the infosec […]"
bhis,reconnaissance: azure cloud w/ kevin klingbile,BHIS,2024-10-07 15:16:30+00:00,2024,10,https://www.blackhillsinfosec.com/reconnaissance-azure-cloud-w-kevin-klingbile/,"informational, kevin klingbile, recon, webcasts, azure cloud, cloud enum, cred master, graph runner, m365, pen testing, webcast wrap-up","this webcast was originally published on september 26, 2024. in this video, kevin klingbile from black hills information security discusses the intricacies of azure cloud services and m365, focusing on […]"
bhis,satellite hacking,BHIS,2024-10-03 15:00:00+00:00,2024,10,https://www.blackhillsinfosec.com/satellite-hacking/,"hardware hacking, how-to, informational, intern, cfs, ground stations, python, rf attack chaining, satellite hacking, space systems, tim fowler",by austin kaiser // intern hacking a satellite is not a new thing. satellites have been around since 1957. the first satellite launched was called sputnik 1 and was launched […]
bhis,proxying your way to code execution – a different take on dll hijacking,BHIS,2024-09-26 15:00:00+00:00,2024,9,https://www.blackhillsinfosec.com/a-different-take-on-dll-hijacking/,"c2, external/internal, matthew eidelberg, red team, red team tools, exploit dev, malware dev","while dll hijacking attacks can take on many different forms, this blog post will explore a specific type of attack called dll proxying, providing insights into how it works, the potential risks it poses, and briefly the methodology for discovering these vulnerable dlls, which led to the discovery of several zero-day vulnerable dlls that microsoft has acknowledged but opted to not fix at this time."
bhis,how logging strategies can affect cyber investigations w/ kiersten & james,BHIS,2024-09-23 20:07:00+00:00,2024,9,https://www.blackhillsinfosec.com/how-logging-strategies-can-affect-cyber-investigations/,"informational, james marrs, kiersten gross, webcast wrap-up, webcasts, audit inspector, cyber investigation, logging, sysmon, windows logs","this webcast was originally published on september 12, 2024.   in this video, kirsten gross and james marrs discuss how logging strategies can affect cyber investigations, specifically focusing on windows logs. […]"
bhis,enable auditing of changes to msds-keycredentiallink,BHIS,2024-09-19 15:00:00+00:00,2024,9,https://www.blackhillsinfosec.com/enable-auditing-of-changes-to-msds-keycredentiallink/,"blue team, incident response, informational, jordan drysdale, blue team detections, detection engineering, event auditing, msds-keycredentiallink, shadow creds","changes to the msds-keycredentiallink attribute are not audited/logged with standard audit configurations. this required serious investigations and a partner firm in infosec provided us the answer: trustedsec.  so, credit where […]"
bhis,monitoring high risk azure logins,BHIS,2024-09-12 14:44:46+00:00,2024,9,https://www.blackhillsinfosec.com/monitoring-high-risk-azure-logins/,"blue team, david perez, incident response, informational, azure, entra id, siem, soc","recently in the soc, we were notified by a partner that they had a potential business email compromise, or bec. we commonly catch these by identifying suspicious email forwarding rules, […]"
bhis,how to put yourself out there – networking on social media,BHIS,2024-09-05 15:10:39+00:00,2024,9,https://www.blackhillsinfosec.com/how-to-put-yourself-out-there/,"general infosec tips & tricks, how-to, informational, infosec 101, serena dipenti, infosec survival guide, social media","it is no surprise that growing your social network can help get your name out there and provide opportunities to advance your career. linkedin, one of the original career-focused networking […]"
bhis,how to get a job in cybersecurity,BHIS,2024-09-05 15:08:30+00:00,2024,9,https://www.blackhillsinfosec.com/how-to-get-a-job-in-cybersecurity/,"general infosec tips & tricks, guest author, how-to, informational, infosec 101, infosec for beginners, infosec survival guide, job hunting",by gerald auger of simply cyber // guest author you want to break into cybersecurity? that’s awesome. i’ve been in the field for 20 years and i love it! but […]
bhis,crafting the perfect prompt: getting the most out of chatgpt and other llms,BHIS,2024-08-29 14:03:54+00:00,2024,8,https://www.blackhillsinfosec.com/crafting-the-perfect-prompt/,"bronwen aker, fun & games, general infosec tips & tricks, how-to, informational, ai, chatbots, chatgpt, llm","| bronwen aker // sr. technical editor, m.s. cybersecurity, gsec, gcih, gcfe go online these days and you will see tons of articles, posts, tweets, tiktoks, and videos about how […]"
bhis,how to perform and combat social engineering,BHIS,2024-08-23 03:00:00+00:00,2024,8,https://www.blackhillsinfosec.com/how-to-perform-and-combat-social-engineering/,"ashley knowles, informational, phishing, red team, social engineering, infosec survival guide",this article was originally published in the second edition of the infosec survival guide. find it free online here or order your $1 physical copy on the spearphish general store. […]
bhis,ghost in the wireless: an introduction to airspace analysis with kismet,BHIS,2024-08-15 15:04:00+00:00,2024,8,https://www.blackhillsinfosec.com/an-introduction-to-airspace-analysis-with-kismet/,"cameron cartier, general infosec tips & tricks, informational, infosec 101, recon, wireless, kismet, wifi","this is the first installment in a series of blogs relating to practical analysis of wireless communications: what they are, how they work, and how they can be attacked. in […]"
bhis,mental health – an infosec challenge,BHIS,2024-08-08 15:00:00+00:00,2024,8,https://www.blackhillsinfosec.com/mental-health-an-infosec-challenge/,"general infosec tips & tricks, guest author, infosec 101, burnout, infosec for beginners, infosec survival guide, mental health",by amanda berlin of mental health hackers this article was originally published in the second edition of the infosec survival guide. find it free online here or order your $1 […]
bhis,wififorge – wifi exploitation for the classroom,BHIS,2024-08-01 15:00:00+00:00,2024,8,https://www.blackhillsinfosec.com/wififorge/,"infosec 101, intern, password cracking, red team, red team tools, wireless",by william oldert // bhis intern bhis had a problem.   we needed an environment for students to learn wifi hacking safely. our original solution used interconnected physical network gear […]
bhis,"build a home lab: equipment, tools, and tips",BHIS,2024-07-25 15:00:00+00:00,2024,7,https://www.blackhillsinfosec.com/build-a-home-lab-equipment-tools-and-tips/,"general infosec tips & tricks, guest author, how-to, informational, infosec 101, home lab, infosec for beginners, infosec survival guide, virtual machines",by martin pearson || guest author this article was originally published in the second edition of the infosec survival guide. find it free online here or order your $1 physical […]
bhis,auditing gitlab: public gitlab projects on internal networks,BHIS,2024-07-18 15:00:00+00:00,2024,7,https://www.blackhillsinfosec.com/auditing-gitlab/,"external/internal, general infosec tips & tricks, how-to, infosec 201, audit, gitlab, gitleaks, leaks, secrets","a great place that can sometimes be overlooked on an internal penetration test are the secrets hidden in plain sight. that is, a place where no authentication is required in […]"
bhis,how to install lineageos on your android device,BHIS,2024-07-11 15:05:22+00:00,2024,7,https://www.blackhillsinfosec.com/how-to-install-lineageos-on-your-android-device/,"connor costigan, hardware hacking, informational, mobile, android, lineageos, rom flashing","hey guys, my name is connor. i am a web developer here at bhis who also loves hacking phones. particularly, android phones! today, i am going to show you the basics […]"
bhis,introducing slackenum: a user enumeration tool for slack,BHIS,2024-06-27 15:00:00+00:00,2024,6,https://www.blackhillsinfosec.com/introducing-slackenum/,"how-to, informational, michael allen, recon, red team, red team tools, web app","recently, as part of our antisoc continuous penetration testing (cpt) service, i had an opportunity to investigate how attackers can leverage slack in cyber-attacks, similar to how we frequently use […]"
bhis,from high school to cyber ninja—for free (almost)!,BHIS,2024-06-20 15:00:00+00:00,2024,6,https://www.blackhillsinfosec.com/from-high-school-to-cyber-ninja/,"carrie roberts, general infosec tips & tricks, how-to, informational, infosec 101, getting started in infosec, infosec for beginners, training",| carrie roberts // guest author carrie roberts is an antisyphon instructor and experienced cyber security professional who has mentored many on their journey into cyber. my name is carrie […]
bhis,augmenting security testing and analysis activities with microsoft 365 products,BHIS,2024-06-13 15:00:00+00:00,2024,6,https://www.blackhillsinfosec.com/augmenting-security-testing-and-analysis-activities-with-microsoft-365-products/,"david fletcher, informational, red team, macros, microsoft 365","use of microsoft 365 products in security testing is not a new concept. for a long time, i’ve incorporated various activities using office products into my testing regimen. in the […]"
bhis,dll jmping: old hollow trampolines in windows dll land,BHIS,2024-06-06 14:45:37+00:00,2024,6,https://www.blackhillsinfosec.com/dll-jmping/,"debjeet banerjee, general infosec tips & tricks, informational, infosec 201, red team, red team tools","dll hollowing is an age-old technique used by malware authors to have a memory-backed shellcode. however, defensive mechanisms like cfg and xfg have made it incredibly difficult to implement such […]"
bhis,abusing active directory certificate services (part 4),BHIS,2024-05-30 15:31:17+00:00,2024,5,https://www.blackhillsinfosec.com/abusing-active-directory-certificate-services-part-4/,"alyssa snow, blue team, external/internal, general infosec tips & tricks, how-to, informational, red team","start this blog series from the beginning here: part 1 misconfigurations in active directory certificate services (adcs) can introduce critical vulnerabilities into an enterprise environment. in this article, we will […]"
