title,scope,level,language,topic
Essentials of Security Procedures,This module focuses on the practical implementation of Security Procedures security measures.,Expert,English,Security Procedures
Mastering Ransomware for Professionals,Gain critical insights into Ransomware and its impact on modern cybersecurity.,Beginner,English,Ransomware
Introduction to Malware,Explore advanced techniques and strategies to mitigate risks related to Malware.,Intermediate,Arabic,Malware
Navigating the World of Reporting,This module focuses on the practical implementation of Reporting security measures.,Advanced,Arabic,Reporting
Introduction to Data Encryption,Gain critical insights into Data Encryption and its impact on modern cybersecurity.,Beginner,English,Data Encryption
Introduction to Health Care Data Privacy,"This course provides an in-depth look at Health Care Data Privacy, covering key concepts and practical applications.",Intermediate,English,Health Care Data Privacy
Securing Your Assets with Ransomware,This module focuses on the practical implementation of Ransomware security measures.,Intermediate,English,Ransomware
Introduction to Insider Threat,This module focuses on the practical implementation of Insider Threat security measures.,Advanced,English,Insider Threat
Introduction to USB Attacks,Explore advanced techniques and strategies to mitigate risks related to USB Attacks.,Intermediate,English,USB Attacks
Introduction to Health Care Data Privacy,This module focuses on the practical implementation of Health Care Data Privacy security measures.,Expert,English,Health Care Data Privacy
Essentials of Data Encryption,"A comprehensive overview of Data Encryption, designed for both beginners and experienced professionals.",Beginner,Arabic,Data Encryption
Navigating the World of PII,Learn the fundamental principles of PII and how to apply them in real-world scenarios.,Advanced,Arabic,PII
Essentials of PII,Explore advanced techniques and strategies to mitigate risks related to PII.,Beginner,Arabic,PII
Introduction to Ransomware,"This course provides an in-depth look at Ransomware, covering key concepts and practical applications.",Advanced,Arabic,Ransomware
Securing Your Assets with Smishing,Explore advanced techniques and strategies to mitigate risks related to Smishing.,Beginner,English,Smishing
Understanding Health Care Data Privacy,This module focuses on the practical implementation of Health Care Data Privacy security measures.,Advanced,English,Health Care Data Privacy
Securing Your Assets with Email Phishing (Tactics),Explore advanced techniques and strategies to mitigate risks related to Email Phishing (Tactics).,Intermediate,Arabic,Email Phishing (Tactics)
The Complete Guide to Real attacks,Learn the fundamental principles of Real attacks and how to apply them in real-world scenarios.,Expert,English,Real attacks
Introduction to Information Leakage,Understand the latest trends and challenges in Information Leakage and how to effectively address them.,Beginner,Arabic,Information Leakage
Securing Your Assets with Health Care Data Privacy,This module focuses on the practical implementation of Health Care Data Privacy security measures.,Intermediate,English,Health Care Data Privacy
Advanced Strategies in QR Phishing,Learn the fundamental principles of QR Phishing and how to apply them in real-world scenarios.,Expert,Arabic,QR Phishing
Advanced Strategies in Threat Actors,Explore advanced techniques and strategies to mitigate risks related to Threat Actors.,Beginner,English,Threat Actors
Mastering Security Procedures for Professionals,"This course provides an in-depth look at Security Procedures, covering key concepts and practical applications.",Beginner,Arabic,Security Procedures
Understanding Password Security,"A comprehensive overview of Password Security, designed for both beginners and experienced professionals.",Expert,Arabic,Password Security
Navigating the World of Threat Actors,This module focuses on the practical implementation of Threat Actors security measures.,Beginner,English,Threat Actors
Introduction to Social engineering,Learn the fundamental principles of Social engineering and how to apply them in real-world scenarios.,Beginner,Arabic,Social engineering
Essentials of ATM Security,Gain critical insights into ATM Security and its impact on modern cybersecurity.,Advanced,English,ATM Security
Mastering Malware for Professionals,"A comprehensive overview of Malware, designed for both beginners and experienced professionals.",Advanced,Arabic,Malware
Understanding Information Leakage,"A comprehensive overview of Information Leakage, designed for both beginners and experienced professionals.",Expert,English,Information Leakage
Essentials of PCI,"This course provides an in-depth look at PCI, covering key concepts and practical applications.",Expert,Arabic,PCI
Navigating the World of Using AI Safely,"This course provides an in-depth look at Using AI Safely, covering key concepts and practical applications.",Intermediate,Arabic,Using AI Safely
The Complete Guide to Information Leakage,Explore advanced techniques and strategies to mitigate risks related to Information Leakage.,Beginner,English,Information Leakage
Introduction to Data Encryption,This module focuses on the practical implementation of Data Encryption security measures.,Intermediate,English,Data Encryption
Essentials of Telecom,"This course provides an in-depth look at Telecom, covering key concepts and practical applications.",Intermediate,Arabic,Telecom
Best Practices for Smishing,Gain critical insights into Smishing and its impact on modern cybersecurity.,Expert,English,Smishing
Introduction to Using AI Safely,This module focuses on the practical implementation of Using AI Safely security measures.,Expert,Arabic,Using AI Safely
The Complete Guide to Data Security,Develop robust policies and procedures to enhance your organization's Data Security posture.,Beginner,Arabic,Data Security
Essentials of Clean Office Policy,Develop robust policies and procedures to enhance your organization's Clean Office Policy posture.,Advanced,Arabic,Clean Office Policy
Securing Your Assets with PII,Develop robust policies and procedures to enhance your organization's PII posture.,Beginner,English,PII
Navigating the World of Acceptance Policy,This module focuses on the practical implementation of Acceptance Policy security measures.,Beginner,English,Acceptance Policy
Mastering QR Phishing for Professionals,"A comprehensive overview of QR Phishing, designed for both beginners and experienced professionals.",Intermediate,English,QR Phishing
Essentials of Password Security,"This course provides an in-depth look at Password Security, covering key concepts and practical applications.",Intermediate,English,Password Security
Securing Your Assets with Threat Actors,Learn the fundamental principles of Threat Actors and how to apply them in real-world scenarios.,Advanced,Arabic,Threat Actors
Navigating the World of Real attacks,Understand the latest trends and challenges in Real attacks and how to effectively address them.,Advanced,English,Real attacks
Advanced Strategies in Using AI Safely,"A comprehensive overview of Using AI Safely, designed for both beginners and experienced professionals.",Intermediate,English,Using AI Safely
The Complete Guide to Acceptance Policy,"A comprehensive overview of Acceptance Policy, designed for both beginners and experienced professionals.",Expert,Arabic,Acceptance Policy
The Complete Guide to Email Phishing Intro,"A comprehensive overview of Email Phishing Intro, designed for both beginners and experienced professionals.",Expert,Arabic,Email Phishing Intro
Advanced Strategies in Business Email Compromise,Develop robust policies and procedures to enhance your organization's Business Email Compromise posture.,Expert,Arabic,Business Email Compromise
Understanding Continuity,Explore advanced techniques and strategies to mitigate risks related to Continuity.,Beginner,English,Continuity
Advanced Strategies in Mobile Security,Gain critical insights into Mobile Security and its impact on modern cybersecurity.,Expert,English,Mobile Security
Mastering Insider Threat for Professionals,Understand the latest trends and challenges in Insider Threat and how to effectively address them.,Advanced,Arabic,Insider Threat
Best Practices for Web Attacks,"This course provides an in-depth look at Web Attacks, covering key concepts and practical applications.",Expert,English,Web Attacks
Understanding Malware,This module focuses on the practical implementation of Malware security measures.,Advanced,English,Malware
Securing Your Assets with Business Email Compromise,"This course provides an in-depth look at Business Email Compromise, covering key concepts and practical applications.",Advanced,Arabic,Business Email Compromise
Mastering Real attacks for Professionals,Gain critical insights into Real attacks and its impact on modern cybersecurity.,Beginner,English,Real attacks
Understanding Security Procedures,"This course provides an in-depth look at Security Procedures, covering key concepts and practical applications.",Advanced,English,Security Procedures
Introduction to USB Attacks,Learn the fundamental principles of USB Attacks and how to apply them in real-world scenarios.,Beginner,Arabic,USB Attacks
Introduction to Malware,"A comprehensive overview of Malware, designed for both beginners and experienced professionals.",Advanced,Arabic,Malware
Navigating the World of Cloud Security,Understand the latest trends and challenges in Cloud Security and how to effectively address them.,Advanced,English,Cloud Security
The Complete Guide to Security Essentials,Explore advanced techniques and strategies to mitigate risks related to Security Essentials.,Expert,English,Security Essentials
Mastering Telecom for Professionals,Understand the latest trends and challenges in Telecom and how to effectively address them.,Beginner,English,Telecom
Securing Your Assets with Social engineering,This module focuses on the practical implementation of Social engineering security measures.,Beginner,English,Social engineering
Introduction to Security Controls,This module focuses on the practical implementation of Security Controls security measures.,Intermediate,English,Security Controls
Essentials of Regulations,Learn the fundamental principles of Regulations and how to apply them in real-world scenarios.,Beginner,English,Regulations
Best Practices for PCI,"This course provides an in-depth look at PCI, covering key concepts and practical applications.",Beginner,Arabic,PCI
Advanced Strategies in Smishing,Explore advanced techniques and strategies to mitigate risks related to Smishing.,Advanced,Arabic,Smishing
Navigating the World of Smishing,Understand the latest trends and challenges in Smishing and how to effectively address them.,Expert,English,Smishing
Securing Your Assets with ATM Security,Learn the fundamental principles of ATM Security and how to apply them in real-world scenarios.,Intermediate,English,ATM Security
Best Practices for Laundering,Develop robust policies and procedures to enhance your organization's Laundering posture.,Expert,English,Laundering
Understanding Real attacks,"A comprehensive overview of Real attacks, designed for both beginners and experienced professionals.",Intermediate,English,Real attacks
Navigating the World of Information Leakage,Learn the fundamental principles of Information Leakage and how to apply them in real-world scenarios.,Advanced,English,Information Leakage
Securing Your Assets with Clean Office Policy,Gain critical insights into Clean Office Policy and its impact on modern cybersecurity.,Intermediate,Arabic,Clean Office Policy
Navigating the World of PII,This module focuses on the practical implementation of PII security measures.,Advanced,English,PII
Essentials of Password Security,"This course provides an in-depth look at Password Security, covering key concepts and practical applications.",Expert,Arabic,Password Security
Best Practices for Laundering,Understand the latest trends and challenges in Laundering and how to effectively address them.,Expert,English,Laundering
Advanced Strategies in Password Security,This module focuses on the practical implementation of Password Security security measures.,Beginner,Arabic,Password Security
The Complete Guide to Ransomware,Understand the latest trends and challenges in Ransomware and how to effectively address them.,Beginner,English,Ransomware
Best Practices for Smishing,Learn the fundamental principles of Smishing and how to apply them in real-world scenarios.,Beginner,Arabic,Smishing
Best Practices for Information Leakage,Understand the latest trends and challenges in Information Leakage and how to effectively address them.,Beginner,English,Information Leakage
Best Practices for Continuity,Explore advanced techniques and strategies to mitigate risks related to Continuity.,Beginner,English,Continuity
The Complete Guide to OWASP TOP 10,"A comprehensive overview of OWASP TOP 10, designed for both beginners and experienced professionals.",Beginner,English,OWASP TOP 10
Mastering Continuity for Professionals,This module focuses on the practical implementation of Continuity security measures.,Beginner,English,Continuity
Securing Your Assets with Insider Threat,Gain critical insights into Insider Threat and its impact on modern cybersecurity.,Expert,English,Insider Threat
Advanced Strategies in Business Email Compromise,Learn the fundamental principles of Business Email Compromise and how to apply them in real-world scenarios.,Expert,Arabic,Business Email Compromise
Best Practices for OWASP TOP 10,"A comprehensive overview of OWASP TOP 10, designed for both beginners and experienced professionals.",Intermediate,Arabic,OWASP TOP 10
Essentials of Clean Office Policy,Gain critical insights into Clean Office Policy and its impact on modern cybersecurity.,Intermediate,English,Clean Office Policy
Essentials of Business Email Compromise,Understand the latest trends and challenges in Business Email Compromise and how to effectively address them.,Beginner,English,Business Email Compromise
Securing Your Assets with Information Leakage,Gain critical insights into Information Leakage and its impact on modern cybersecurity.,Advanced,Arabic,Information Leakage
Navigating the World of Operation Technology,Explore advanced techniques and strategies to mitigate risks related to Operation Technology.,Expert,Arabic,Operation Technology
Introduction to Email Phishing Intro,Explore advanced techniques and strategies to mitigate risks related to Email Phishing Intro.,Expert,English,Email Phishing Intro
Navigating the World of Financial Security,"This course provides an in-depth look at Financial Security, covering key concepts and practical applications.",Intermediate,English,Financial Security
Mastering Bring Your Own Device (BYOD) for Professionals,"A comprehensive overview of Bring Your Own Device (BYOD), designed for both beginners and experienced professionals.",Beginner,Arabic,Bring Your Own Device (BYOD)
Understanding Bring Your Own Device (BYOD),Understand the latest trends and challenges in Bring Your Own Device (BYOD) and how to effectively address them.,Advanced,Arabic,Bring Your Own Device (BYOD)
Navigating the World of Regulations,"A comprehensive overview of Regulations, designed for both beginners and experienced professionals.",Expert,Arabic,Regulations
Securing Your Assets with Acceptance Policy,"A comprehensive overview of Acceptance Policy, designed for both beginners and experienced professionals.",Beginner,Arabic,Acceptance Policy
Advanced Strategies in Security Essentials,This module focuses on the practical implementation of Security Essentials security measures.,Intermediate,Arabic,Security Essentials
Introduction to Email Phishing Intro,Explore advanced techniques and strategies to mitigate risks related to Email Phishing Intro.,Intermediate,Arabic,Email Phishing Intro
Introduction to Continuity,Understand the latest trends and challenges in Continuity and how to effectively address them.,Beginner,Arabic,Continuity
Introduction to Security Controls,Learn the fundamental principles of Security Controls and how to apply them in real-world scenarios.,Beginner,English,Security Controls
Securing Your Assets with Data Encryption,"This course provides an in-depth look at Data Encryption, covering key concepts and practical applications.",Expert,Arabic,Data Encryption
The Complete Guide to Health Care Data Privacy,"This course provides an in-depth look at Health Care Data Privacy, covering key concepts and practical applications.",Advanced,English,Health Care Data Privacy
Understanding OWASP TOP 10,Gain critical insights into OWASP TOP 10 and its impact on modern cybersecurity.,Expert,Arabic,OWASP TOP 10
Securing Your Assets with Acceptance Policy,This module focuses on the practical implementation of Acceptance Policy security measures.,Expert,Arabic,Acceptance Policy
Mastering Cloud Security for Professionals,Develop robust policies and procedures to enhance your organization's Cloud Security posture.,Advanced,Arabic,Cloud Security
Navigating the World of Security Procedures,Understand the latest trends and challenges in Security Procedures and how to effectively address them.,Advanced,Arabic,Security Procedures
Best Practices for Using AI Safely,Learn the fundamental principles of Using AI Safely and how to apply them in real-world scenarios.,Beginner,English,Using AI Safely
Securing Your Assets with Smishing,Learn the fundamental principles of Smishing and how to apply them in real-world scenarios.,Beginner,English,Smishing
Essentials of QR Phishing,Understand the latest trends and challenges in QR Phishing and how to effectively address them.,Advanced,English,QR Phishing
Introduction to Bring Your Own Device (BYOD),Understand the latest trends and challenges in Bring Your Own Device (BYOD) and how to effectively address them.,Intermediate,Arabic,Bring Your Own Device (BYOD)
The Complete Guide to Telework,"A comprehensive overview of Telework, designed for both beginners and experienced professionals.",Beginner,English,Telework
Mastering Physical Security for Professionals,This module focuses on the practical implementation of Physical Security security measures.,Intermediate,Arabic,Physical Security
Introduction to Security Procedures,This module focuses on the practical implementation of Security Procedures security measures.,Advanced,English,Security Procedures
Introduction to Ransomware,"A comprehensive overview of Ransomware, designed for both beginners and experienced professionals.",Beginner,Arabic,Ransomware
Securing Your Assets with Bring Your Own Device (BYOD),"A comprehensive overview of Bring Your Own Device (BYOD), designed for both beginners and experienced professionals.",Intermediate,Arabic,Bring Your Own Device (BYOD)
The Complete Guide to Mobile Security,Explore advanced techniques and strategies to mitigate risks related to Mobile Security.,Intermediate,English,Mobile Security
Understanding Laundering,Develop robust policies and procedures to enhance your organization's Laundering posture.,Beginner,English,Laundering
Navigating the World of Laundering,Explore advanced techniques and strategies to mitigate risks related to Laundering.,Beginner,English,Laundering
Essentials of Mobile Security,Develop robust policies and procedures to enhance your organization's Mobile Security posture.,Beginner,English,Mobile Security
Mastering Laundering for Professionals,Understand the latest trends and challenges in Laundering and how to effectively address them.,Advanced,Arabic,Laundering
Essentials of Continuity,This module focuses on the practical implementation of Continuity security measures.,Expert,Arabic,Continuity
Advanced Strategies in PII,Explore advanced techniques and strategies to mitigate risks related to PII.,Intermediate,Arabic,PII
Essentials of Threat Actors,Learn the fundamental principles of Threat Actors and how to apply them in real-world scenarios.,Intermediate,English,Threat Actors
Understanding Laundering,Develop robust policies and procedures to enhance your organization's Laundering posture.,Beginner,English,Laundering
Understanding PII,"This course provides an in-depth look at PII, covering key concepts and practical applications.",Advanced,Arabic,PII
Understanding QR Phishing,Learn the fundamental principles of QR Phishing and how to apply them in real-world scenarios.,Beginner,English,QR Phishing
Understanding Physical Security,"This course provides an in-depth look at Physical Security, covering key concepts and practical applications.",Expert,Arabic,Physical Security
Advanced Strategies in Email Phishing Intro,Gain critical insights into Email Phishing Intro and its impact on modern cybersecurity.,Advanced,English,Email Phishing Intro
Introduction to Acceptance Policy,Learn the fundamental principles of Acceptance Policy and how to apply them in real-world scenarios.,Expert,Arabic,Acceptance Policy
Advanced Strategies in Physical Security,Explore advanced techniques and strategies to mitigate risks related to Physical Security.,Intermediate,English,Physical Security
Securing Your Assets with USB Attacks,This module focuses on the practical implementation of USB Attacks security measures.,Beginner,English,USB Attacks
Securing Your Assets with Mobile Security,"A comprehensive overview of Mobile Security, designed for both beginners and experienced professionals.",Intermediate,English,Mobile Security
Securing Your Assets with Continuity,Understand the latest trends and challenges in Continuity and how to effectively address them.,Beginner,English,Continuity
The Complete Guide to OWASP TOP 10,"A comprehensive overview of OWASP TOP 10, designed for both beginners and experienced professionals.",Advanced,English,OWASP TOP 10
Understanding Telecom,"This course provides an in-depth look at Telecom, covering key concepts and practical applications.",Expert,Arabic,Telecom
The Complete Guide to Security Essentials,"A comprehensive overview of Security Essentials, designed for both beginners and experienced professionals.",Advanced,Arabic,Security Essentials
Advanced Strategies in Insider Threat,Explore advanced techniques and strategies to mitigate risks related to Insider Threat.,Expert,English,Insider Threat
Advanced Strategies in Continuity,"This course provides an in-depth look at Continuity, covering key concepts and practical applications.",Intermediate,Arabic,Continuity
Best Practices for QR Phishing,This module focuses on the practical implementation of QR Phishing security measures.,Intermediate,English,QR Phishing
Essentials of ATM Security,Gain critical insights into ATM Security and its impact on modern cybersecurity.,Beginner,Arabic,ATM Security
Understanding Continuity,"This course provides an in-depth look at Continuity, covering key concepts and practical applications.",Expert,Arabic,Continuity
Essentials of Social engineering,Explore advanced techniques and strategies to mitigate risks related to Social engineering.,Intermediate,English,Social engineering
Introduction to Information Leakage,This module focuses on the practical implementation of Information Leakage security measures.,Intermediate,English,Information Leakage
Navigating the World of Data Security,"A comprehensive overview of Data Security, designed for both beginners and experienced professionals.",Beginner,English,Data Security
Advanced Strategies in Threat Actors,Understand the latest trends and challenges in Threat Actors and how to effectively address them.,Advanced,Arabic,Threat Actors
Introduction to Cloud Security,This module focuses on the practical implementation of Cloud Security security measures.,Beginner,English,Cloud Security
The Complete Guide to USB Attacks,Explore advanced techniques and strategies to mitigate risks related to USB Attacks.,Expert,English,USB Attacks
Navigating the World of Using AI Safely,This module focuses on the practical implementation of Using AI Safely security measures.,Beginner,English,Using AI Safely
Securing Your Assets with Operation Technology,Explore advanced techniques and strategies to mitigate risks related to Operation Technology.,Expert,English,Operation Technology
Mastering Telecom for Professionals,Explore advanced techniques and strategies to mitigate risks related to Telecom.,Advanced,Arabic,Telecom
Understanding Data Encryption,"This course provides an in-depth look at Data Encryption, covering key concepts and practical applications.",Expert,Arabic,Data Encryption
Essentials of Bring Your Own Device (BYOD),"A comprehensive overview of Bring Your Own Device (BYOD), designed for both beginners and experienced professionals.",Expert,English,Bring Your Own Device (BYOD)
Introduction to Security Procedures,Gain critical insights into Security Procedures and its impact on modern cybersecurity.,Advanced,Arabic,Security Procedures
Mastering ATM Security for Professionals,Gain critical insights into ATM Security and its impact on modern cybersecurity.,Expert,Arabic,ATM Security
Understanding QR Phishing,Understand the latest trends and challenges in QR Phishing and how to effectively address them.,Beginner,Arabic,QR Phishing
Navigating the World of ATM Security,Understand the latest trends and challenges in ATM Security and how to effectively address them.,Intermediate,Arabic,ATM Security
Advanced Strategies in Operation Technology,This module focuses on the practical implementation of Operation Technology security measures.,Advanced,Arabic,Operation Technology
The Complete Guide to Data Encryption,Gain critical insights into Data Encryption and its impact on modern cybersecurity.,Beginner,Arabic,Data Encryption
The Complete Guide to Continuity,"A comprehensive overview of Continuity, designed for both beginners and experienced professionals.",Beginner,English,Continuity
Mastering USB Attacks for Professionals,Learn the fundamental principles of USB Attacks and how to apply them in real-world scenarios.,Beginner,Arabic,USB Attacks
Best Practices for Laundering,Understand the latest trends and challenges in Laundering and how to effectively address them.,Expert,English,Laundering
Essentials of Insider Threat,Understand the latest trends and challenges in Insider Threat and how to effectively address them.,Intermediate,Arabic,Insider Threat
Understanding USB Attacks,Explore advanced techniques and strategies to mitigate risks related to USB Attacks.,Expert,Arabic,USB Attacks
Navigating the World of Telecom,This module focuses on the practical implementation of Telecom security measures.,Intermediate,English,Telecom
Introduction to Business Email Compromise,Develop robust policies and procedures to enhance your organization's Business Email Compromise posture.,Advanced,English,Business Email Compromise
Mastering Regulations for Professionals,Gain critical insights into Regulations and its impact on modern cybersecurity.,Beginner,Arabic,Regulations
Securing Your Assets with Using AI Safely,Gain critical insights into Using AI Safely and its impact on modern cybersecurity.,Beginner,English,Using AI Safely
Essentials of Ransomware,Develop robust policies and procedures to enhance your organization's Ransomware posture.,Intermediate,English,Ransomware
Essentials of Email Phishing Intro,Understand the latest trends and challenges in Email Phishing Intro and how to effectively address them.,Advanced,Arabic,Email Phishing Intro
Advanced Strategies in QR Phishing,Learn the fundamental principles of QR Phishing and how to apply them in real-world scenarios.,Beginner,Arabic,QR Phishing
Understanding Password Security,Understand the latest trends and challenges in Password Security and how to effectively address them.,Expert,English,Password Security
Advanced Strategies in Smishing,Explore advanced techniques and strategies to mitigate risks related to Smishing.,Expert,English,Smishing
Advanced Strategies in Email Phishing (Tactics),Understand the latest trends and challenges in Email Phishing (Tactics) and how to effectively address them.,Intermediate,English,Email Phishing (Tactics)
Understanding Ransomware,This module focuses on the practical implementation of Ransomware security measures.,Advanced,English,Ransomware
Advanced Strategies in Cloud Security,Learn the fundamental principles of Cloud Security and how to apply them in real-world scenarios.,Advanced,English,Cloud Security
Understanding Social engineering,Understand the latest trends and challenges in Social engineering and how to effectively address them.,Expert,Arabic,Social engineering
Advanced Strategies in QR Phishing,This module focuses on the practical implementation of QR Phishing security measures.,Expert,English,QR Phishing
Mastering Social engineering for Professionals,Learn the fundamental principles of Social engineering and how to apply them in real-world scenarios.,Expert,Arabic,Social engineering
Navigating the World of Information Leakage,This module focuses on the practical implementation of Information Leakage security measures.,Beginner,English,Information Leakage
The Complete Guide to Acceptance Policy,Explore advanced techniques and strategies to mitigate risks related to Acceptance Policy.,Expert,English,Acceptance Policy
Best Practices for Using AI Safely,Explore advanced techniques and strategies to mitigate risks related to Using AI Safely.,Intermediate,Arabic,Using AI Safely
Essentials of Physical Security,Learn the fundamental principles of Physical Security and how to apply them in real-world scenarios.,Expert,English,Physical Security
Securing Your Assets with Customer Care,This module focuses on the practical implementation of Customer Care security measures.,Expert,English,Customer Care
Introduction to Password Security,"This course provides an in-depth look at Password Security, covering key concepts and practical applications.",Advanced,English,Password Security
Mastering Threat Actors for Professionals,Understand the latest trends and challenges in Threat Actors and how to effectively address them.,Expert,English,Threat Actors
Mastering Financial Security for Professionals,"This course provides an in-depth look at Financial Security, covering key concepts and practical applications.",Advanced,English,Financial Security
Best Practices for Email Phishing Intro,Gain critical insights into Email Phishing Intro and its impact on modern cybersecurity.,Intermediate,English,Email Phishing Intro
Advanced Strategies in Data Security,Gain critical insights into Data Security and its impact on modern cybersecurity.,Advanced,English,Data Security
The Complete Guide to ATM Security,This module focuses on the practical implementation of ATM Security security measures.,Beginner,Arabic,ATM Security
Mastering PII for Professionals,"A comprehensive overview of PII, designed for both beginners and experienced professionals.",Expert,English,PII
The Complete Guide to Health Care Data Privacy,Explore advanced techniques and strategies to mitigate risks related to Health Care Data Privacy.,Expert,English,Health Care Data Privacy
Understanding Customer Care,Explore advanced techniques and strategies to mitigate risks related to Customer Care.,Expert,English,Customer Care
Mastering Ransomware for Professionals,This module focuses on the practical implementation of Ransomware security measures.,Advanced,English,Ransomware
Navigating the World of Continuity,"This course provides an in-depth look at Continuity, covering key concepts and practical applications.",Expert,Arabic,Continuity
Securing Your Assets with Financial Security,"A comprehensive overview of Financial Security, designed for both beginners and experienced professionals.",Expert,English,Financial Security
Best Practices for Financial Security,Gain critical insights into Financial Security and its impact on modern cybersecurity.,Expert,Arabic,Financial Security
Advanced Strategies in PCI,This module focuses on the practical implementation of PCI security measures.,Beginner,English,PCI
Introduction to Data Encryption,Develop robust policies and procedures to enhance your organization's Data Encryption posture.,Expert,English,Data Encryption
Understanding Insider Threat,Explore advanced techniques and strategies to mitigate risks related to Insider Threat.,Beginner,Arabic,Insider Threat
Navigating the World of PCI,This module focuses on the practical implementation of PCI security measures.,Beginner,English,PCI
Securing Your Assets with Telecom,"A comprehensive overview of Telecom, designed for both beginners and experienced professionals.",Intermediate,English,Telecom
Introduction to USB Attacks,Learn the fundamental principles of USB Attacks and how to apply them in real-world scenarios.,Advanced,Arabic,USB Attacks
Navigating the World of Web Attacks,Gain critical insights into Web Attacks and its impact on modern cybersecurity.,Intermediate,English,Web Attacks
Navigating the World of Laundering,"This course provides an in-depth look at Laundering, covering key concepts and practical applications.",Expert,Arabic,Laundering
